ticker,industry
ARMP,Pharmaceuticals and Biotechnology
VOR,Pharmaceuticals and Biotechnology
NODK,Insurance
PHUN,IT Services
SNOA,Pharmaceuticals and Biotechnology
VHC,Other Business Products and Services
DCGO,Healthcare Services
CLDI,Pharmaceuticals and Biotechnology
DRCT,Media
AVR,Commercial Products
PTGX,Pharmaceuticals and Biotechnology
CTOR,Pharmaceuticals and Biotechnology
OGEN,Pharmaceuticals and Biotechnology
FTFT,Commercial Services
INAB,Pharmaceuticals and Biotechnology
CHCI,Other Financial Services
BH,Restaurants, Hotels and Leisure
AMPY,Exploration, Production and Refining
FRD,Metals, Minerals and Mining
PALI,Pharmaceuticals and Biotechnology
ARTNA,Utilities
CATX,Healthcare Devices and Supplies
BNC,Capital Markets/Institutions
OLMA,Pharmaceuticals and Biotechnology
ATRA,Pharmaceuticals and Biotechnology
MNST,Consumer Non-Durables
ANTX,Pharmaceuticals and Biotechnology
SLDB,Pharmaceuticals and Biotechnology
EXOZ,Pharmaceuticals and Biotechnology
RANI,Pharmaceuticals and Biotechnology
VVOS,Healthcare Devices and Supplies
OFLX,Commercial Products
SKYX,Commercial Products
NOTV,Pharmaceuticals and Biotechnology
VYGR,Pharmaceuticals and Biotechnology
NXGL,Healthcare Devices and Supplies
ERAS,Pharmaceuticals and Biotechnology
VTAK,Healthcare Devices and Supplies
CPRX,Pharmaceuticals and Biotechnology
LPSN,Software
HHS,Media
BIOA,Pharmaceuticals and Biotechnology
MGX,Pharmaceuticals and Biotechnology
ELSE,Commercial Products
STRO,Pharmaceuticals and Biotechnology
ALLR,Pharmaceuticals and Biotechnology
NXTC,Pharmaceuticals and Biotechnology
CPHC,Restaurants, Hotels and Leisure
VIVK,Commercial Services
ATYR,Pharmaceuticals and Biotechnology
LSTA,Other Healthcare
OBIO,Pharmaceuticals and Biotechnology
BMEA,Pharmaceuticals and Biotechnology
TBRG,IT Services
PROP,Other Financial Services
RIME,Other Information Technology
AMTM,Commercial Services
USBC,Other Financial Services
CELZ,Other Financial Services
RCMT,Commercial Services
KYTX,Pharmaceuticals and Biotechnology
SGMO,Pharmaceuticals and Biotechnology
SKYT,Semiconductors
MBIO,Pharmaceuticals and Biotechnology
LPRO,Other Financial Services
NTIP,Other Business Products and Services
CCRN,Commercial Services
CRBU,Pharmaceuticals and Biotechnology
SSKN,Healthcare Devices and Supplies
SAFT,Insurance
OS,Software
ISPO,Other Financial Services
INHD,Metals, Minerals and Mining
NOTE,Commercial Services
NCL,Other Materials
LYEL,Pharmaceuticals and Biotechnology
SEPN,Pharmaceuticals and Biotechnology
SCWO,Commercial Products
SNCY,Transportation
MXC,Exploration, Production and Refining
ORBS,Containers and Packaging
GYRE,Pharmaceuticals and Biotechnology
CAPR,Pharmaceuticals and Biotechnology
CZNC,Commercial Banks
AUUD,IT Services
CARV,Commercial Banks
BSLK,Chemicals and Gases
AREC,Other Energy
AEON,Pharmaceuticals and Biotechnology
CTXR,Pharmaceuticals and Biotechnology
ANAB,Pharmaceuticals and Biotechnology
RICK,Restaurants, Hotels and Leisure
GNLX,Pharmaceuticals and Biotechnology
VTVT,Pharmaceuticals and Biotechnology
IMNM,Pharmaceuticals and Biotechnology
SLS,Pharmaceuticals and Biotechnology
ESOA,Construction (Non-Wood)
SMTK,Semiconductors
ALXO,Pharmaceuticals and Biotechnology
ASMB,Pharmaceuticals and Biotechnology
LIF,Software
CVR,Commercial Products
QNCX,Pharmaceuticals and Biotechnology
BIRD,Apparel and Accessories
TARS,Pharmaceuticals and Biotechnology
RR,Commercial Products
USAU,Metals, Minerals and Mining
CARM,Pharmaceuticals and Biotechnology
TNYA,Pharmaceuticals and Biotechnology
BCAB,Pharmaceuticals and Biotechnology
BATL,Exploration, Production and Refining
AFBI,Commercial Banks
PLRX,Pharmaceuticals and Biotechnology
MNTS,Commercial Services
ENTA,Pharmaceuticals and Biotechnology
AAME,Insurance
HUBG,Exploration, Production and Refining
XNCR,Pharmaceuticals and Biotechnology
CRDF,Pharmaceuticals and Biotechnology
TECX,Pharmaceuticals and Biotechnology
CENN,Consumer Durables
SER,Pharmaceuticals and Biotechnology
MBRX,Pharmaceuticals and Biotechnology
GDC,Metals, Minerals and Mining
CUE,Pharmaceuticals and Biotechnology
TCBS,Commercial Banks
IMXI,Commercial Services
BTBD,Restaurants, Hotels and Leisure
FDSB,Commercial Banks
ZNTL,Pharmaceuticals and Biotechnology
VTGN,Pharmaceuticals and Biotechnology
MRCY,Commercial Products
KEYS,Commercial Products
IRIX,Healthcare Devices and Supplies
HUBG,Exploration, Production and Refining
MGLD,Other Financial Services
AIM,Pharmaceuticals and Biotechnology
KULR,Commercial Products
JKHY,IT Services
LZB,Consumer Durables
TOL,Consumer Durables
EPM,Exploration, Production and Refining
FRHC,Capital Markets/Institutions
ITP,Containers and Packaging
MSPR,IT Services
AES,Utilities
IOR,Other Financial Services
ATNM,Pharmaceuticals and Biotechnology
BIVI,Pharmaceuticals and Biotechnology
REBN,Restaurants, Hotels and Leisure
MUX,Metals, Minerals and Mining
MTEX,Pharmaceuticals and Biotechnology
AZTR,Pharmaceuticals and Biotechnology
WVVI,Consumer Non-Durables
GBR,Exploration, Production and Refining
QCLS,Computer Hardware
AWX,Commercial Services
ASTI,Semiconductors
IMMX,Pharmaceuticals and Biotechnology
FNWD,Commercial Banks
SEGG,Restaurants, Hotels and Leisure
SONM,Communications and Networking
ARL,Services (Non-Financial)
MVST,Commercial Products
DNA,Pharmaceuticals and Biotechnology
TCI,Other Financial Services
CTNT,Consumer Durables
RR,Commercial Products
NCPL,Other Financial Services
TLF,Apparel and Accessories
SBFM,Pharmaceuticals and Biotechnology
NAKA,Capital Markets/Institutions
DOMH,Pharmaceuticals and Biotechnology
STI,Commercial Products
KITT,Commercial Products
CVM,Pharmaceuticals and Biotechnology
CVU,Commercial Services
SIEB,Capital Markets/Institutions
NFBK,Commercial Banks
BJDX,Healthcare Devices and Supplies
HLX,Energy Services
GORO,Metals, Minerals and Mining
GURE,Chemicals and Gases
FLYE,Commercial Products
TE,Commercial Products
EL,Consumer Non-Durables
DY,Construction (Non-Wood)
LOW,Retail
TGT,Retail
ADI,Semiconductors
TJX,Retail
DVLT,Semiconductors
RIOT,Other Financial Services
PNRG,Exploration, Production and Refining
CLIR,Commercial Products
TRUG,Consumer Durables
COTY,Consumer Non-Durables
JBSS,Consumer Non-Durables
UFI,Textiles
WOLF,Semiconductors
BILL,IT Services
ARAY,Healthcare Devices and Supplies
NDSN,Commercial Products
VSTD,Restaurants, Hotels and Leisure
DE,Commercial Products
AAP,Retail
MZTI,Consumer Non-Durables
CATO,Retail
SLQT,Insurance
LYTS,Commercial Products
WMT,Retail
TWIN,Commercial Products
OSIS,Semiconductors
SCSC,Retail
HOV,Consumer Durables
ROST,Retail
FLO,Consumer Non-Durables
